Employee_Name,EmpID,MarriedID,DeptID,PayRate,PositionID,Position,State,DOB,Sex,DateofHire,Department
"Brown, Mia",1103024456,1,1,28.5,1,Accountant I,MA,11/24/1987,F,10/27/2008,Admin Offices
"LaRotonda, William  ",1106026572,0,1,23,1,Accountant I,MA,4/26/1984,M ,1/6/2014,Admin Offices
"Steans, Tyrone  ",1302053333,0,1,29,1,Accountant I,MA,9/1/1986,M ,9/29/2014,Admin Offices
"Howard, Estelle",1211050782,1,1,21.5,2,Administrative Assistant,MA,9/16/1985,F,2/16/2015,Admin Offices
"Singh, Nan ",1307059817,0,1,16.56,2,Administrative Assistant,MA,5/19/1988,F,5/1/2015,Admin Offices
"Smith, Leigh Ann",711007713,1,1,20.5,2,Administrative Assistant,MA,6/14/1987,F,9/26/2011,Admin Offices
"Bunbury, Jessica",1504073368,1,6,55,3,Area Sales Manager,VA,6/1/1964,F,8/15/2011,Sales
"Carter, Michelle ",1403065721,0,6,55,3,Area Sales Manager,VT,5/15/1963,F,8/18/2014,Sales
"Dietrich, Jenna  ",1408069481,0,6,55,3,Area Sales Manager,WA,5/14/1987,F,2/20/2012,Sales
"Digitale, Alfred",1306059197,1,6,56,3,Area Sales Manager,NH,9/14/1988,M ,8/18/2014,Sales
"Friedman, Gerry",1204032843,0,6,55.5,3,Area Sales Manager,NY,2/24/1969,M ,3/7/2011,Sales
"Gill, Whitney  ",1302053046,0,6,55,3,Area Sales Manager,OH,7/10/1971,F,7/7/2014,Sales
"Gonzales, Ricardo",1411071481,1,6,55.5,3,Area Sales Manager,ID,10/12/1954,M ,5/12/2014,Sales
"Guilianno, Mike",1001167253,0,6,55,3,Area Sales Manager,TN,2/9/1969,M ,3/7/2011,Sales
"Leruth, Giovanni",1412071660,0,6,55,3,Area Sales Manager,UT,12/27/1988,M ,4/30/2012,Sales
"Mullaney, Howard",1306057978,0,6,55,3,Area Sales Manager,AL,11/2/1975,M ,9/29/2014,Sales
"Ozark, Travis",812011761,0,6,55,3,Area Sales Manager,NC,5/19/1982,M ,1/5/2015,Sales
"Strong, Caitrin",1411071295,1,6,54,3,Area Sales Manager,MT,5/12/1989,F,9/27/2010,Sales
"Valentin,Jackie",1312063714,1,6,55,3,Area Sales Manager,AZ,5/23/1991,F,7/5/2011,Sales
"Villanueva, Noah",1111030503,0,6,56,3,Area Sales Manager,ME,7/11/1989,M ,3/5/2012,Sales
"Buck, Edward",1504073313,1,6,55,3,Area Sales Manager,MA,7/7/1975,M ,9/29/2014,Sales
"Costa, Latia",1409070567,0,6,55,3,Area Sales Manager,CA,11/8/1988,F,1/10/2011,Sales
"Fraval, Maruk ",1411071302,0,6,55,3,Area Sales Manager,CT,8/28/1963,M ,9/6/2011,Sales
"Givens, Myriam",1203032099,0,6,55,3,Area Sales Manager,IN,9/22/1989,F,2/16/2015,Sales
Jeremy Prater,1001084890,1,6,56,3,Area Sales Manager,NV,5/9/1974,M ,5/12/2014,Sales
"Khemmich, Bartholemew",1104025008,0,6,55,3,Area Sales Manager,CO,11/27/1979,M ,8/19/2013,Sales
"Martins, Joseph",1209048771,0,6,56,3,Area Sales Manager,TX,6/11/1970,M ,5/14/2012,Sales
"McKinzie, Jac",1209049326,1,6,55,3,Area Sales Manager,TX,7/1/1984,M ,7/6/2016,Sales
"Nguyen, Dheepa",1111030684,0,6,55,3,Area Sales Manager,GA,3/31/1989,F,7/8/2013,Sales
"Onque, Jasmine",1501072180,0,6,57,3,Area Sales Manager,FL,5/11/1990,F,9/30/2013,Sales
"Potts, Xana",1102024106,1,6,55,3,Area Sales Manager,KY,8/29/1988,F,1/9/2012,Sales
"Riordan, Michael",1502072711,0,6,55,3,Area Sales Manager,ND,1/15/1968,M ,1/9/2006,Sales
"Terry, Sharlene ",1401064637,0,6,55,3,Area Sales Manager,OR,5/7/1965,F,9/29/2014,Sales
"Rachael, Maggie",1009919940,1,3,45,4,BI Developer,MA,5/12/1980,F,10/2/2016,IT/IS
"Smith, Jason",1009919980,0,3,46,4,BI Developer,MA,9/4/1983,M ,2/15/2017,IT/IS
"Westinghouse, Matthew",1009919990,1,3,45,4,BI Developer,MA,10/24/1987,M ,4/20/2017,IT/IS
"Hubert, Robert",1009920000,1,3,45,4,BI Developer,MA,6/30/1989,M ,4/20/2017,IT/IS
"Champaigne, Brian",1009919920,1,3,63.5,5,BI Director,MA,2/9/1972,M ,9/6/2016,IT/IS
"Zamora, Jennifer",1112030816,0,3,65,6,CIO,MA,8/30/1979,F,4/10/2010,IT/IS
"Roper, Katie",1009919950,0,3,55,7,Data Architect,MA,11/21/1972,F,1/7/2017,IT/IS
"Becker, Renee",1102024056,0,3,43,8,Database Administrator,MA,4/4/1986,F,7/7/2014,IT/IS
"Goble, Taisha",905013738,0,3,48.5,8,Database Administrator,MA,10/23/1971,F,2/16/2015,IT/IS
"Hernandez, Daniff",1410071156,1,3,40.1,8,Database Administrator,MA,8/7/1986,M ,2/16/2015,IT/IS
"Horton, Jayne",1105025718,0,3,34,8,Database Administrator,MA,2/21/1984,F,3/30/2015,IT/IS
"Johnson, Noelle ",1003018246,1,3,40,8,Database Administrator,MA,11/7/1986,F,1/5/2015,IT/IS
"Murray, Thomas",1406068403,0,3,35.5,9,Data Analyst,TX,7/4/1988,M ,11/10/2014,IT/IS
"Pearson, Randall",1102023965,1,3,41,9,Data Analyst,MA,9/5/1984,M ,12/1/2014,IT/IS
